-----------------------------------------------------------------------------------------------------------
+--------------------+--------+------+----------+-----------+--------------+-------------+----------+
|                 key|accuracy|    id|       lat|        lng|         speed|         time|     types|
|20200401_00001121...|     4.0|962717|37.2547361|126.9740692|      5.832123|1585686000285|    NORMAL|
|20200401_00001121...|     4.0|962718|37.2546794|126.9740681|     3.9273264|1585686002281|    NORMAL|
|20200401_00001121...|   4.333|962719|37.2546458|126.9739969|      3.758218|1585686004283|    NORMAL|
|20200401_00001121...|   4.666|962720|37.2546475|126.9739148|     3.2984636|1585686006284|    NORMAL|
|20200401_00001121...|   5.103|962721|37.2546475|126.9738525|     2.5087569|1585686008283|    NORMAL|
|20200401_00001121...|   4.436|962722|37.2546466|126.9738187|     1.2711067|1585686010285|    NORMAL|
|20200401_00001121...|   4.374|962723|37.2546479|126.9738255|   0.002003595|1585686012281|    NORMAL|
|20200401_00001121...|   4.438|962724|37.2546488| 126.973832|  0.0012790764|1585686014280|    NORMAL|
|20200401_00001121...|   4.384|962725| 37.254649|126.9738333|  1.1459203E-4|1585686016278|    NORMAL|
|20200401_00001121...|   10.64|962726|37.2546498| 126.973843|    0.12039855|1585686019091|    NORMAL|
|20200401_00001121...|   23.83|962727|37.2546602|126.9739697|      4.070248|1585686020952|       END|
|20200401_00001121...|  14.987|962728|37.2452076|126.9637194|     0.5679492|1585687427958|     START|
|20200401_00001121...|    48.0|962729|37.2452462| 126.963678|     3.7020588|1585687432997|    NORMAL|
|20200401_00001121...|    48.0|962730| 37.245187|126.9636502|      8.021436|1585687438067|    NORMAL|
|20200401_00001121...|    38.0|962731|37.2448565|126.9637786|     5.9368277|1585687440046|    NORMAL|
|20200401_00001121...|  35.333|962732|37.2445851|126.9637395|      7.491054|1585687441998|    NORMAL|
|20200401_00001121...|    20.0|962733|37.2444352|126.9636921|     4.5908504|1585687444564|    NORMAL|
|20200401_00001121...|  10.857|962734|37.2443084| 126.963654|     7.5945373|1585687446571|    NORMAL|
|20200401_00001121...|   9.333|962735|37.2441453|126.9635957|      8.324125|1585687448570|    NORMAL|
|20200401_00001121...|    9.34|962736|  37.24398|126.9635279|      8.699794|1585687450575|    NORMAL|
|20200401_00001121...|    9.34|962737|37.2438191|126.9634687|      8.005936|1585687452601|    NORMAL|
|20200401_00001121...|     8.0|962738|37.2436835|126.9634196|     7.1448073|1585687454568|    NORMAL|
|20200401_00001121...|     8.0|962739|37.2435577|126.9633782|     6.3556566|1585687456577|    NORMAL|
|20200401_00001121...|     8.0|962740|37.2434457|126.9633466|      5.384577|1585687458582|    NORMAL|
|20200401_00001121...|     8.0|962741|37.2433209|126.9633598|     5.2834992|1585687460588|    NORMAL|
|20200401_00001121...|     8.0|962742|37.2432554|126.9633723|     5.4884224|1585687461594|    NORMAL|
|20200401_00001121...|     8.0|962743|37.2431186|126.9633735|     5.4902167|1585687463667|    NORMAL|
|20200401_00001121...|     7.2|962744|37.2429358|126.9633314|      5.581647|1585687466628|    NORMAL|
|20200401_00001121...|   6.666|962745|37.2428308|126.9632847|     5.6499977|1585687468623|    NORMAL|
|20200401_00001121...|     6.0|962746| 37.242739|126.9632102|     5.7487164|1585687470618|    NORMAL|
|20200401_00001121...|     6.0|962747|37.2426622|126.9631202|     5.5746093|1585687472644|    NORMAL|
|20200401_00001121...|   5.333|962748|37.2425824|126.9630565|     5.0886683|1585687474616|    NORMAL|
|20200401_00001121...|     4.4|962749|37.2425116|126.9630289|     3.7334921|1585687476620|    NORMAL|
|20200401_00001121...|   4.666|962750|37.2424852|126.9630241|     2.9647243|1585687477616|    NORMAL|
|20200401_00001121...|     5.6|962751| 37.242471|126.9630245|  0.0058265794|1585687480614|    NORMAL|
|20200401_00001121...|   5.743|962752|37.2424793|126.9630268|  0.0018951513|1585687482613|    NORMAL|
|20200401_00001121...|   5.033|962753|37.2424809|126.9630273|    4.59341E-4|1585687484631|    NORMAL|
|20200401_00001121...|   4.205|962754|37.2424749|126.9630259|   0.026337221|1585687486624|    NORMAL|
|20200401_00001121...|   4.019|962755| 37.242463|126.9630205|    0.39600366|1585687488616|    NORMAL|
|20200401_00001121...|   4.005|962756|37.2424268| 126.963004|     2.2830684|1585687490618|    NORMAL|
|20200401_00001121...|   4.414|962757|37.2423515|126.9629712|     3.4889874|1585687492608|    NORMAL|
|20200401_00001121...|   4.379|962758|37.2423139|126.9629553|     3.9126458|1585687493612|    NORMAL|
|20200401_00001121...|   4.493|962759|37.2421524|126.9629011|      5.036724|1585687496609|    NORMAL|
|20200401_00001121...|   5.175|962760|37.2420458|126.9628565|     5.0952525|1585687498614|    NORMAL|
|20200401_00001121...|   5.175|962761|37.2419562|126.9628134|     5.0574265|1585687500611|    NORMAL|
|20200401_00001121...|   6.517|962762|37.2418833|126.9627811|      5.022084|1585687502606|    NORMAL|
|20200401_00001121...|   8.199|962763|37.2418332| 126.962753|      4.596736|1585687504610|    NORMAL|
|20200401_00001121...|   9.059|962764|  37.24182| 126.962762|    0.35389435|1585687505607| OVER_STOP|
|20200401_00001121...|    9.15|962765|37.2418623|126.9627946|    0.94733614|1585687508603|    NORMAL|
|20200401_00001121...|    8.83|962766|37.2418693|126.9627992|     0.5220814|1585687510611|    NORMAL|
|20200401_00001121...|   8.904|962767| 37.241863|126.9628031|      0.237597|1585687512609|    NORMAL|
|20200401_00001121...|   7.616|962768|37.2418643|126.9628017|    0.01893464|1585687514580|    NORMAL|
|20200401_00001121...|   5.271|962769|37.2418642|126.9628019|    0.05794307|1585687516625|    NORMAL|
|20200401_00001121...|   4.405|962770|37.2418398|126.9627876|     2.4159622|1585687518603|    NORMAL|
|20200401_00001121...|   4.405|962771|37.2417699|126.9627562|      3.338352|1585687520599|    NORMAL|
|20200401_00001121...|   4.482|962772|37.2416941|126.9627203|      3.987548|1585687522614|    NORMAL|
|20200401_00001121...|   4.563|962773|37.2415945| 126.962686|     4.9126368|1585687524627|    NORMAL|
|20200401_00001121...|   4.768|962774|37.2414715|126.9626484|      5.529045|1585687526598|    NORMAL|
|20200401_00001121...|   5.495|962775|37.2413315|126.9626027|     6.6891913|1585687528626|    NORMAL|
|20200401_00001121...|   6.078|962776|37.2412651|126.9625773|      6.923181|1585687529646|    NORMAL|
|20200401_00001121...|   6.744|962777|37.2410619|126.9625101|     7.6257954|1585687532604|    NORMAL|
|20200401_00001121...|   6.333|962778|37.2409308|126.9624696|      7.410259|1585687534596|    NORMAL|
|20200401_00001121...|   6.666|962779|37.2408032|126.9624449|     7.3321915|1585687536606|    NORMAL|
|20200401_00001121...|     7.2|962780|37.2406895|126.9624201|     6.7439976|1585687538608|    NORMAL|
|20200401_00001121...|     7.0|962781|37.2405777|126.9623855|      6.691667|1585687540598|    NORMAL|
|20200401_00001121...|     6.4|962782|37.2405196|126.9623647|      6.563191|1585687541606|    NORMAL|
|20200401_00001121...|   5.333|962783|37.2404163|126.9623268|       5.36537|1585687543599|    NORMAL|
|20200401_00001121...|   4.666|962784|37.2403526|126.9623129|    0.16475601|1585687546594|    NORMAL|
|20200401_00001121...|   4.666|962785|37.2403602|126.9623152|   0.005967927|1585687547605|    NORMAL|
|20200401_00001121...|   5.666|962786|37.2403706|126.9623179|  0.0012597267|1585687550593|    NORMAL|
|20200401_00001121...|   6.408|962787|37.2403724|126.9623185|  4.0459423E-4|1585687552594|    NORMAL|
|20200401_00001121...|   6.408|962788|37.2403729|126.9623186|   1.143929E-4|1585687554594|    NORMAL|
|20200401_00001121...|   6.545|962789| 37.240373|126.9623187|   6.977778E-5|1585687556602|    NORMAL|
|20200401_00001121...|   6.467|962790|37.2403731|126.9623187|  1.0339764E-5|1585687558595|    NORMAL|
|20200401_00001121...|   6.545|962791|37.2403731|126.9623187|   3.428781E-6|1585687560623|    NORMAL|
|20200401_00001121...|   6.509|962792|37.2403731|126.9623187|  1.0705828E-6|1585687562590|    NORMAL|
|20200401_00001121...|   6.509|962793|37.2403731|126.9623187|  2.8933792E-7|1585687564588|    NORMAL|
|20200401_00001121...|   6.784|962794|37.2403731|126.9623187|   2.389834E-7|1585687566590|    NORMAL|
|20200401_00001121...|   6.784|962795|37.2403731|126.9623187|  2.2814598E-8|1585687568588|    NORMAL|
|20200401_00001121...|   6.784|962796|37.2403731|126.9623187|  7.8402325E-9|1585687570586|    NORMAL|
|20200401_00001121...|   6.538|962797|37.2403626|126.9623124|   0.035620052|1585687572610|    NORMAL|
|20200401_00001121...|   5.778|962798|37.2403554|126.9623078|    0.03509922|1585687574593|    NORMAL|
|20200401_00001121...|   4.718|962799|37.2403525|126.9623056|   0.037470274|1585687576585|    NORMAL|
|20200401_00001121...|   4.446|962800|37.2403512|126.9623048|   0.013472131|1585687578573|    NORMAL|
|20200401_00001121...|   4.603|962801|  37.24035| 126.962304|   0.009575136|1585687580558|    NORMAL|
|20200401_00001121...|   5.018|962802|37.2403493|126.9623038|   0.031483788|1585687582562|    NORMAL|
|20200401_00001121...|   5.018|962803|37.2403487|126.9623039|   0.046119582|1585687584556|    NORMAL|
|20200401_00001121...|   5.578|962804|37.2403483|126.9623037|   0.027933734|1585687586284|    NORMAL|
|20200401_00001121...|   5.578|962805|37.2403488|126.9623039|   0.017777152|1585687587561|    NORMAL|
|20200401_00001121...|   5.578|962806|37.2403498|126.9623039|    0.06309714|1585687590560|    NORMAL|
|20200401_00001121...|   5.414|962807| 37.240351|126.9623045|   0.021770809|1585687592553|    NORMAL|
|20200401_00001121...|   5.414|962808|37.2403522| 126.962305|   0.014847529|1585687594553|    NORMAL|
|20200401_00001121...|   5.722|962809|37.2403525|126.9623052|   0.019799832|1585687596349|    NORMAL|
|20200401_00001121...|   5.722|962810| 37.240353|126.9623054|   0.025435766|1585687598561|    NORMAL|
|20200401_00001121...|   5.722|962811|37.2403527|126.9623054|   0.062409025|1585687600592|    NORMAL|
|20200401_00001121...|     4.0|962812|37.2403523|126.9623051|   0.030867781|1585687602566|    NORMAL|
|20200401_00001121...|     4.0|962813|37.2403521|126.9623057|   0.016218789|1585687604564|    NORMAL|
|20200401_00001121...|   5.568|962814|37.2403523| 126.962306|    0.01856534|1585687606408|    NORMAL|
|20200401_00001121...|   5.853|962815|37.2403521|126.9623053|    0.29642433|1585687608553|    NORMAL|
|20200401_00001121...|   6.829|962816|37.2403174| 126.962292|     2.1700392|1585687610579|    NORMAL|
|20200401_00001121...|     6.0|962817|37.2402313|126.9622562|     4.0846257|1585687612587|    NORMAL|
|20200401_00001121...|     6.0|962818|37.2401393|126.9622102|       5.11389|1585687614576|    NORMAL|
|20200401_00001121...|    5.75|962819|37.2400116|126.9621493|      6.060262|1585687616575|    NORMAL|
|20200401_00001121...|     6.0|962820|37.2399431|126.9621194|     6.8800454|1585687617711|    NORMAL|
|20200401_00001121...|     6.4|962821|37.2397117|126.9620314|      8.687823|1585687620574|    NORMAL|
|20200401_00001121...|   7.627|962822| 37.239539|126.9619741|      9.226422|1585687622588|    NORMAL|
|20200401_00001121...|   7.898|962823| 37.239363|126.9619064|       9.65696|1585687624578|    NORMAL|
|20200401_00001121...|     6.0|962824|37.2391746| 126.961843|     9.6310425|1585687626571|    NORMAL|
|20200401_00001121...|     6.0|962825|37.2390037|126.9617877|      9.215345|1585687628577|    NORMAL|
|20200401_00001121...|   5.333|962826|37.2388431|126.9617189|      9.126535|1585687630584|    NORMAL|
|20200401_00001121...|   6.666|962827|37.2386913|126.9616635|       8.41235|1585687632574|    NORMAL|
|20200401_00001121...|   6.333|962828|37.2386234|126.9616329|      8.122555|1585687633573|    NORMAL|
|20200401_00001121...|     7.2|962829|37.2384442|126.9615624|     6.2512865|1585687636590|    NORMAL|
|20200401_00001121...|   7.333|962830|37.2383497|126.9615336|       5.41163|1585687638571|    NORMAL|
|20200401_00001121...|     8.0|962831| 37.238277|126.9615178|     4.4215345|1585687640572|    NORMAL|
|20200401_00001121...|     8.0|962832|37.2382448|126.9615082|     3.8059366|1585687641580|    NORMAL|
|20200401_00001121...|   7.142|962833|37.2381901|126.9614984|     2.0759912|1585687644568|    NORMAL|
|20200401_00001121...|    6.82|962834|37.2381938|126.9615012|  0.0010718026|1585687646551|    NORMAL|
|20200401_00001121...|   6.534|962835|37.2381995|126.9615015|  0.0015921382|1585687648568|    NORMAL|
|20200401_00001121...|   6.624|962836|37.2382014|126.9615016|   5.410645E-4|1585687650589|    NORMAL|
|20200401_00001121...|    6.35|962837|37.2382021|126.9615017|  1.6276646E-4|1585687652578|    NORMAL|
|20200401_00001121...|    6.35|962838|37.2382022|126.9615017|  4.7192563E-5|1585687654565|    NORMAL|
|20200401_00001121...|   6.459|962839|37.2382023|126.9615017|  2.6902839E-5|1585687656568|    NORMAL|
|20200401_00001121...|   6.459|962840| 37.238187|126.9615064|      0.503925|1585687657575|    NORMAL|
|20200401_00001121...|   6.536|962841|37.2380979|126.9615116|     3.4162047|1585687660581|    NORMAL|
|20200401_00001121...|   6.453|962842|37.2379971|126.9615164|      4.098804|1585687662567|    NORMAL|
|20200401_00001121...|   6.397|962843|37.2379143|126.9615204|     4.1713715|1585687664566|    NORMAL|
|20200401_00001121...|   5.453|962844|37.2378279|126.9615129|      4.489104|1585687666576|    NORMAL|
|20200401_00001121...|     4.2|962845|37.2377144| 126.961474|     4.9236355|1585687668570|    NORMAL|
|20200401_00001121...|   3.685|962846|37.2375973|126.9614307|     5.8652315|1585687670564|    NORMAL|
|20200401_00001121...|    4.15|962847| 37.237535|126.9614073|      6.065175|1585687671595|    NORMAL|
|20200401_00001121...|   5.166|962848|37.2373639|126.9613641|      6.002527|1585687674560|    NORMAL|
|20200401_00001121...|   5.666|962849|37.2372473|126.9613984|      6.299107|1585687676565|    NORMAL|
|20200401_00001121...|     5.6|962850|37.2371295|126.9614608|     6.8109646|1585687678562|    NORMAL|
|20200401_00001121...|     5.2|962851| 37.237068|126.9614958|     7.1770186|1585687679560|    NORMAL|
|20200401_00001121...|     4.0|962852|37.2368646|126.9616061|      8.555356|1585687682562|    NORMAL|
|20200401_00001121...|     4.0|962853|37.2366965|126.9616778|     10.094804|1585687684560|    NORMAL|
|20200401_00001121...|     4.0|962854|37.2364966|126.9617364|     11.183136|1585687686561|    NORMAL|
|20200401_00001121...|   4.666|962855|37.2362799|126.9617816|      11.93202|1585687688557|    NORMAL|
|20200401_00001121...|   4.666|962856|37.2360535|126.9618229|     12.201201|1585687690557|    NORMAL|
|20200401_00001121...|     5.0|962857|37.2358258|126.9618327|     12.529894|1585687692561|    NORMAL|
|20200401_00001121...|     4.4|962858|37.2355821|126.9618211|      13.24554|1585687694568|    NORMAL|
|20200401_00001121...|   4.333|962859|  37.23533|126.9617889|     13.719447|1585687696564|    NORMAL|
|20200401_00001121...|     4.0|962860|37.2350689|126.9617142|     14.828646|1585687698558|    NORMAL|
|20200401_00001121...|     4.0|962861|37.2349215|126.9616611|     15.403362|1585687699703|    NORMAL|
|20200401_00001121...|     4.0|962862|37.2346389|126.9615373|     17.430464|1585687701554|    NORMAL|
|20200401_00001121...|     4.0|962863|37.2341369| 126.961233|     20.931261|1585687704588|    NORMAL|
|20200401_00001121...|     4.0|962864| 37.233798|126.9609439|     22.568354|1585687706554|    NORMAL|
|20200401_00001121...|     4.0|962865|37.2334774|126.9606273|     22.636581|1585687708560|    NORMAL|
|20200401_00001121...|   3.816|962866|37.2331383|126.9603167|     23.417364|1585687710555|    NORMAL|
|20200401_00001121...|   3.633|962867|37.2327876|126.9599921|     24.218624|1585687712552|    NORMAL|
|20200401_00001121...|    3.76|962868|37.2324344|126.9596565|     24.671213|1585687714553|    NORMAL|
|20200401_00001121...|     3.8|962869|37.2322515|126.9594893|     24.983297|1585687715550|    NORMAL|
|20200401_00001121...|     4.0|962870|37.2318877|126.9591438|     25.408756|1585687717552|    NORMAL|
|20200401_00001121...|     4.0|962871|37.2313363|126.9586157|     26.433908|1585687720558|    NORMAL|
|20200401_00001121...|     4.0|962872|37.2309606|126.9582686|     26.294687|1585687722556|    NORMAL|
|20200401_00001121...|     4.0|962873|37.2307737| 126.958086|     26.327318|1585687723550|    NORMAL|
|20200401_00001121...|     4.0|962874|37.2302186|126.9575749|     26.205656|1585687726554|    NORMAL|
|20200401_00001121...|     4.0|962875|37.2298472|126.9572525|     25.125013|1585687728550|    NORMAL|
|20200401_00001121...|     4.0|962876|37.2294823|126.9569457|     24.402145|1585687730548|    NORMAL|
|20200401_00001121...|     4.0|962877|37.2291248|126.9566514|      23.86904|1585687732546|    NORMAL|
|20200401_00001121...|     4.0|962878|37.2287655|126.9563638|     23.562862|1585687734554|    NORMAL|
|20200401_00001121...|     4.0|962879|37.2284096|126.9560893|     23.216354|1585687736550|    NORMAL|
|20200401_00001121...|   3.816|962880| 37.228052|126.9558331|     22.970394|1585687738546|    NORMAL|
|20200401_00001121...|    3.56|962881|37.2276999|126.9555721|      22.62379|1585687740551|    NORMAL|
|20200401_00001121...|   3.633|962882|37.2275265|126.9554466|      22.46823|1585687741542|    NORMAL|
|20200401_00001121...|    3.65|962883|37.2271827|126.9552055|      21.87252|1585687743544|    NORMAL|
|20200401_00001121...|     4.0|962884| 37.226704|126.9548917|     18.962673|1585687746548|    NORMAL|
|20200401_00001121...|     4.0|962885|37.2265655|126.9547986|     17.629448|1585687747554|    NORMAL|
|20200401_00001121...|     4.0|962886|37.2263253|126.9546357|     14.923191|1585687749541|    NORMAL|
|20200401_00001121...|     4.0|962887|37.2260162|126.9544105|     13.081434|1585687752543|    NORMAL|
|20200401_00001121...|     4.0|962888|37.2258209|126.9542693|     12.762788|1585687754541|    NORMAL|
|20200401_00001121...|     4.0|962889| 37.225635|126.9541295|     12.020147|1585687756549|    NORMAL|
|20200401_00001121...|     4.0|962890| 37.225454|126.9539902|     11.792276|1585687758538|    NORMAL|
|20200401_00001121...|     4.0|962891|37.2252925|126.9538314|     11.390732|1585687760534|    NORMAL|
|20200401_00001121...|     4.0|962892|37.2251238|126.9536545|    12.4612465|1585687762553|    NORMAL|
|20200401_00001121...|     4.0|962893|37.2249299|126.9534873|     13.149142|1585687764528|    NORMAL|
|20200401_00001121...|     4.0|962894|37.2247322|126.9533215|     13.103167|1585687766529|    NORMAL|
|20200401_00001121...|     4.0|962895|37.2246335|126.9532328|     12.878868|1585687767604|    NORMAL|
|20200401_00001121...|     4.0|962896|37.2243581|126.9529713|     13.002652|1585687770530|    NORMAL|
|20200401_00001121...|   4.666|962897|37.2241866|126.9527871|     12.197296|1585687772549|    NORMAL|
|20200401_00001121...|   5.333|962898|37.2240356|126.9526137|     11.379947|1585687774526|    NORMAL|
|20200401_00001121...|     6.0|962899|37.2238808|126.9524586|     11.072774|1585687776533|    NORMAL|
|20200401_00001121...|     6.0|962900|37.2237154|126.9523288|     10.631519|1585687778534|    NORMAL|
|20200401_00001121...|   5.333|962901|37.2235551|126.9522242|      9.586595|1585687780526|    NORMAL|
|20200401_00001121...|     4.4|962902|37.2234223|126.9521316|      8.313607|1585687782538|    NORMAL|
|20200401_00001121...|     4.0|962903|37.2233048|126.9520337|      7.752537|1585687784530|    NORMAL|
|20200401_00001121...|     4.0|962904|37.2232014|126.9519448|     6.8133693|1585687786534|    NORMAL|
|20200401_00001121...|     4.0|962905| 37.223108|126.9518696|     6.2394786|1585687788526|    NORMAL|
|20200401_00001121...|     4.0|962906| 37.223027|126.9518118|     4.2379975|1585687790537|    NORMAL|
|20200401_00001121...|     4.0|962907|37.2229945|126.9517919|    0.14465897|1585687792525|    NORMAL|
|20200401_00001121...|     4.0|962908|37.2230043|126.9517985|  0.0015770181|1585687794525|    NORMAL|
|20200401_00001121...|     4.0|962909|37.2230074|126.9518004|   5.840724E-4|1585687796526|    NORMAL|
|20200401_00001121...|   4.314|962910|37.2230083| 126.951801|  1.3849646E-4|1585687798523|    NORMAL|
|20200401_00001121...|   4.366|962911|37.2230084|126.9518011|  3.4371562E-5|1585687800542|    NORMAL|
|20200401_00001121...|   4.442|962912|37.2230085|126.9518012|  1.5554155E-5|1585687802525|    NORMAL|
|20200401_00001121...|   5.108|962913|37.2230085|126.9518012|  1.8074763E-6|1585687804529|    NORMAL|
|20200401_00001121...|   5.521|962914|37.2230085|126.9518012|   6.000265E-7|1585687806522|    NORMAL|
|20200401_00001121...|   5.584|962915|37.2230085|126.9518012|  1.8846127E-7|1585687808520|    NORMAL|
|20200401_00001121...|   4.849|962916|37.2230085|126.9518012|   5.056872E-8|1585687810531|    NORMAL|
|20200401_00001121...|   5.184|962917|37.2230085|126.9518012|  2.0004364E-8|1585687812531|    NORMAL|
|20200401_00001121...|   5.756|962918|37.2230085|126.9518012|  3.6131762E-9|1585687814527|    NORMAL|
|20200401_00001121...|   6.327|962919|37.2230085|126.9518012|  1.2076286E-9|1585687816531|    NORMAL|
|20200401_00001121...|   6.217|962920|37.2230085|126.9518012| 3.5431977E-10|1585687818521|    NORMAL|
|20200401_00001121...|    5.55|962921|37.2230085|126.9518012|  1.262008E-10|1585687820537|    NORMAL|
|20200401_00001121...|   5.877|962922|37.2230085|126.9518012|  6.608568E-11|1585687822519|    NORMAL|
|20200401_00001121...|   5.895|962923|37.2230085|126.9518012|  8.590998E-12|1585687824519|    NORMAL|
|20200401_00001121...|   5.877|962924|37.2230085|126.9518012|  3.149301E-12|1585687826523|    NORMAL|
|20200401_00001121...|   5.084|962925|37.2230085|126.9518012|  7.973183E-13|1585687828516|    NORMAL|
