-----------------------------------------------------------------------------------------------------------
+--------------------+--------+------+----------+-----------+--------------+-------------+----------+
|                 key|accuracy|    id|       lat|        lng|         speed|         time|     types|
|20200401_00001121...|    3.56|962685|37.2615987|126.9728167|     13.505358|1585685936298|    NORMAL|
|20200401_00001121...|   3.466|962686|37.2613634|126.9728704|     13.220966|1585685938301|    NORMAL|
|20200401_00001121...|    3.56|962687|37.2611347|126.9729182|     12.384468|1585685940439|    NORMAL|
|20200401_00001121...|    3.54|962688|37.2609391|126.9729628|     11.211271|1585685942375|    NORMAL|
|20200401_00001121...|    3.45|962689|37.2607778|126.9729992|      9.222537|1585685944293|    NORMAL|
|20200401_00001121...|    3.54|962690|37.2606497|126.9730267|     7.4925714|1585685946298|    NORMAL|
|20200401_00001121...|    3.45|962691|37.2605482|126.9730507|     6.3720236|1585685948294|    NORMAL|
|20200401_00001121...|    3.54|962692|37.2604645|126.9730751|       5.05111|1585685950295|    NORMAL|
|20200401_00001121...|   3.385|962693|37.2604124|126.9730898|     3.3996055|1585685952293|    NORMAL|
|20200401_00001121...|    3.45|962694| 37.260392|126.9730939|     2.4166956|1585685954305|    NORMAL|
|20200401_00001121...|   3.385|962695| 37.260349|126.9731039|     3.5207295|1585685956289|    NORMAL|
|20200401_00001121...|   3.685|962696|37.2602494|126.9731303|      4.367312|1585685958292|    NORMAL|
|20200401_00001121...|   3.983|962697|37.2601618|126.9731532|     5.1446967|1585685960329|    NORMAL|
|20200401_00001121...|     4.4|962698|37.2600378|126.9731828|     6.8104835|1585685962341|    NORMAL|
|20200401_00001121...|     4.4|962699|37.2598881|126.9732159|      7.679815|1585685964404|    NORMAL|
|20200401_00001121...|    10.4|962700|37.2597469|126.9732441|      7.882042|1585685966299|    NORMAL|
|20200401_00001121...|  16.169|962701|  37.25958|126.9732774|       8.80471|1585685968288|    NORMAL|
|20200401_00001121...|  19.803|962702|37.2593922|126.9733194|     11.626597|1585685970295|    NORMAL|
|20200401_00001121...|     9.6|962703|37.2591369|126.9733682|     13.640268|1585685972293|    NORMAL|
|20200401_00001121...|    10.4|962704|37.2588052|126.9734219|     15.486423|1585685974304|    NORMAL|
|20200401_00001121...|   8.333|962705|37.2584422|126.9734606|     16.709368|1585685976290|    NORMAL|
|20200401_00001121...|   5.666|962706|37.2580953|126.9734959|     17.758665|1585685978313|    NORMAL|
|20200401_00001121...|    3.98|962707|37.2577307|126.9735317|     19.588148|1585685980376|    NORMAL|
|20200401_00001121...|     3.8|962708|37.2573675|126.9735621|     19.817331|1585685982283|    NORMAL|
|20200401_00001121...|   3.616|962709| 37.256998| 126.973594|     19.712294|1585685984292|    NORMAL|
|20200401_00001121...|    3.45|962710|  37.25664|126.9736306|     19.056776|1585685986283|    NORMAL|
|20200401_00001121...|    3.45|962711| 37.256297|126.9736747|     18.221218|1585685988291|    NORMAL|
|20200401_00001121...|    3.45|962712|37.2559782|126.9737068|     17.056965|1585685990285|    NORMAL|
|20200401_00001121...|    3.45|962713|37.2556831|126.9737694|     16.532389|1585685992283|    NORMAL|
|20200401_00001121...|    3.54|962714|37.2553953|126.9738486|     16.432812|1585685994284|    NORMAL|
|20200401_00001121...|    3.56|962715|37.2551101|126.9739344|     15.329126|1585685996300|    NORMAL|
|20200401_00001121...|    3.65|962716|37.2548796| 126.974014|     12.723643|1585685998285|    NORMAL|
