-----------------------------------------------------------------------------------------------------------
+--------+----------+----------+------------------------------------+------+----------+-----------+--------------+-------------+----------+---------------------------------------------------+
|accuracy|accuracy_x|accuracy_y|address                             |id    |lat       |lng        |speed         |time         |types     |uuid                                               |
|3.54    |null      |null      |null                                |962692|37.2604645|126.9730751|5.05111       |1585685950295|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|3.385   |null      |null      |null                                |962693|37.2604124|126.9730898|3.3996055     |1585685952293|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|3.45    |null      |null      |null                                |962694|37.260392 |126.9730939|2.4166956     |1585685954305|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|3.385   |null      |null      |null                                |962695|37.260349 |126.9731039|3.5207295     |1585685956289|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|3.685   |null      |null      |null                                |962696|37.2602494|126.9731303|4.367312      |1585685958292|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|3.983   |null      |null      |null                                |962697|37.2601618|126.9731532|5.1446967     |1585685960329|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|4.4     |null      |null      |null                                |962698|37.2600378|126.9731828|6.8104835     |1585685962341|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|4.4     |null      |null      |null                                |962699|37.2598881|126.9732159|7.679815      |1585685964404|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|10.4    |null      |null      |null                                |962700|37.2597469|126.9732441|7.882042      |1585685966299|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|16.169  |null      |null      |null                                |962701|37.25958  |126.9732774|8.80471       |1585685968288|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|19.803  |null      |null      |null                                |962702|37.2593922|126.9733194|11.626597     |1585685970295|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|9.6     |null      |null      |null                                |962703|37.2591369|126.9733682|13.640268     |1585685972293|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|10.4    |null      |null      |null                                |962704|37.2588052|126.9734219|15.486423     |1585685974304|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
|8.333   |null      |null      |null                                |962705|37.2584422|126.9734606|16.709368     |1585685976290|NORMAL    |000011215a38400fae14f7c1586a3b3b2020-04-01 05:17:53|
